# ----------------------------------------
# Aerlingus.com All Website Traffic (excluding internal EI traffic) UA
# New Custom Report
# 20180212-20180212
# ----------------------------------------

Transaction ID,Booked Origin Airport,Booked Destination Airport,trans_Date,Quantity
27MWMW|5b3c11589698f8f7bc7dea6ef9a47c8e4d1f06f5,JFK,LIN,2018-02-12T04:41:48.216Z,3
27MWMW|5b3c11589698f8f7bc7dea6ef9a47c8e4d1f06f5,LIN,JFK,2018-02-12T04:41:48.216Z,3
27MWZS|006bf6b55f064cbde2b4e474ff51918955e5cd56,DUB,SFO,2018-02-12T05:29:27.302Z,3
27MWZS|006bf6b55f064cbde2b4e474ff51918955e5cd56,SFO,DUB,2018-02-12T05:29:27.302Z,3
27N7PJ|f61c2a598758cac31e7afdf5b0aa840f6a397387,DUB,FUE,2018-02-12T09:56:18.008Z,3
27N7PJ|f61c2a598758cac31e7afdf5b0aa840f6a397387,FUE,DUB,2018-02-12T09:56:18.008Z,3
27YNUN|cf81a16a9b030a3d2b922a16bea3bb6c4f01f8bb,SNN,EDI,2018-02-12T01:47:09.422Z,3
27YP4W|ad5a9b679d5b7506a16a3d8394aca3e8e1a35f0c,DUB,EWR,2018-02-12T02:11:45.475Z,3
27YP4W|ad5a9b679d5b7506a16a3d8394aca3e8e1a35f0c,EWR,DUB,2018-02-12T02:11:45.475Z,3
28M3XS|894fd8a7daa8c0f0753dec2cd73b2fad64759b2e,LHR,SNN,2018-02-12T05:24:44.916Z,3
28M3XS|894fd8a7daa8c0f0753dec2cd73b2fad64759b2e,SNN,LHR,2018-02-12T05:24:44.916Z,3
28MCCS|3b6b215c77073ca751f94107df1c083818558e8c,BRU,DUB,2018-02-12T09:14:52.929Z,3
28MCCS|3b6b215c77073ca751f94107df1c083818558e8c,DUB,BRU,2018-02-12T09:14:52.929Z,3
2ETZ3J|60d8711037ad6fc8a7d92d3bc9dd4c2386cc3e42,DUB,ORD,2018-02-12T03:02:59.674Z,3
2ETZ3J|60d8711037ad6fc8a7d92d3bc9dd4c2386cc3e42,ORD,DUB,2018-02-12T03:02:59.674Z,3
2IVADF|630e23330851e3a7eeef1da1b3af6de0404498d4,BCN,ORK,2018-02-12T00:27:20.102Z,3
2IVADF|630e23330851e3a7eeef1da1b3af6de0404498d4,ORK,BCN,2018-02-12T00:27:20.102Z,3
2IVN2F|2ff0066392bcf1c1eb2f08988415698eb3cc218a,AMS,DUB,2018-02-12T09:36:52.214Z,3
2IVN2F|2ff0066392bcf1c1eb2f08988415698eb3cc218a,DUB,AMS,2018-02-12T09:36:52.214Z,3
2IVN32|f5e73218a4d7e3e26cdb564c32a30a88578c476f,DUB,MAN,2018-02-12T09:37:31.755Z,3
2IVN32|f5e73218a4d7e3e26cdb564c32a30a88578c476f,MAN,DUB,2018-02-12T09:37:31.755Z,3
2NGALN|fe49375b79370329c3f049c144ba3473a3ab7b0a,BRS,DUB,2018-02-12T09:14:43.963Z,3
2NGALN|fe49375b79370329c3f049c144ba3473a3ab7b0a,DUB,BRS,2018-02-12T09:14:43.963Z,3
2PBFLW|b227d31aeca03af4c6419f1e0377730a34318a6c,BOS,DUB,2018-02-12T01:17:16.477Z,3
2PBFLW|b227d31aeca03af4c6419f1e0377730a34318a6c,FCO,BOS,2018-02-12T01:17:16.477Z,3
2PBPI2|89ad9fedae775749e7ae58bf791f96815f9f0b05,BRU,DUB,2018-02-12T08:40:39.732Z,3
2PBPPS|5ac9dbedc15a3ff9e45e13ff4aa95feafca762ae,DUB,AMS,2018-02-12T08:45:21.036Z,3
2PS83B|e012acb7f213a70cd449dea25887f4a106cc4116,VCE,DUB,2018-02-12T04:07:23.884Z,3
2QD88J|3957eb1c85970131b2b80382fdf44d782193efd5,BOS,GVA,2018-02-12T02:14:06.700Z,3
2QD88J|3957eb1c85970131b2b80382fdf44d782193efd5,GVA,BOS,2018-02-12T02:14:06.700Z,3
2QDG7B|35570ccac1a76986eadcc8e20d1bc643bc791cb6,LPA,DUB,2018-02-12T08:08:26.941Z,3
2RKXIB|47e680f630bbeec97a67c64ca7739725b9ccc6f4,DUB,EDI,2018-02-12T03:13:03.406Z,3
2RKXJW|f110abdc7a81df8ed572a5d7e8268e2981564ccf,DUB,SEA,2018-02-12T03:17:53.267Z,3
2RKXJW|f110abdc7a81df8ed572a5d7e8268e2981564ccf,SEA,DUB,2018-02-12T03:17:53.267Z,3
2RKYLN|3d2d018418a4d14a99bd3bc9384b50945e6f5192,LHR,DUB,2018-02-12T04:36:02.342Z,3
2S6EA2|4a3f3667c2de4122608d0cc124e72a4f3b1b1a39,DUB,SFO,2018-02-12T01:34:26.526Z,3
2S6EA2|4a3f3667c2de4122608d0cc124e72a4f3b1b1a39,SFO,DUB,2018-02-12T01:34:26.526Z,3
2S6LJF|1bf459c384b54bcf2cc0e10e8859aadac193d7f6,AGP,ORK,2018-02-12T08:40:21.865Z,3
2S6LJF|1bf459c384b54bcf2cc0e10e8859aadac193d7f6,ORK,AGP,2018-02-12T08:40:21.865Z,3
2S6N6N|81389733e48ed18c8b7201273888433c0737e2d9,BHD,LHR,2018-02-12T09:25:26.913Z,3
2SGT4N|3e8e58ae683256d68cc2365bc269be36cb0b617c,DUB,ORD,2018-02-12T00:55:02.470Z,3
2SGT4N|3e8e58ae683256d68cc2365bc269be36cb0b617c,ORD,EDI,2018-02-12T00:55:02.470Z,3
2SH3KF|7a565fed9be0fc781caee086b23d8663a0e2cadb,BHX,DUB,2018-02-12T08:40:49.157Z,3
2SKJ7S|98e87a5fffbc1d5ea150943e2ecb0ca226c744e2,TXL,DUB,2018-02-12T03:39:00.373Z,3
2STE8J|dcef82780ee95a68d151fae8e716624e26c028dd,BOS,DUB,2018-02-12T00:26:01.859Z,3
2STE8J|dcef82780ee95a68d151fae8e716624e26c028dd,SNN,BOS,2018-02-12T00:26:01.859Z,3
2STLPF|02bcec0b27e7c4be0c16f6bc44177cc47d120768,AGP,DUB,2018-02-12T07:45:51.150Z,3
2STLPF|02bcec0b27e7c4be0c16f6bc44177cc47d120768,DUB,AGP,2018-02-12T07:45:51.150Z,3
2T7NB6|6d38250191b75ddacdf9bb366e2214f476657e9e,DUB,SFO,2018-02-12T04:43:43.597Z,3
2T7NB6|6d38250191b75ddacdf9bb366e2214f476657e9e,SFO,DUB,2018-02-12T04:43:43.597Z,3
2T7SCW|80640de4343b2eb6f8650ae15e596e9baaf1da96,EDI,SNN,2018-02-12T07:52:20.393Z,3
2T7U6B|8f6ef4fdab7c588ceaf937def61e3c9571d7de02,FAO,DUB,2018-02-12T09:01:17.919Z,3
2T7VIS|f7ee98d6e0d1d6f5117dfda4b1b494bfee82c0be,DUB,LGW,2018-02-12T09:34:07.693Z,3
22JWX2|8d9caa2de2b74b8af1778a8cf3709eeaa8b341e7,DUB,CFU,2018-02-12T00:26:20.603Z,2
22JXHF|a8883c7c511733fa12e6322e3cb3d4a3153783ba,EDI,ORD,2018-02-12T00:47:03.059Z,2
22JXHF|a8883c7c511733fa12e6322e3cb3d4a3153783ba,ORD,EDI,2018-02-12T00:47:03.059Z,2
22JXMN|bbf4d0d2279dc87aa84dabf74eb6de48bbfe5f32,DUB,BUD,2018-02-12T00:51:20.330Z,2
22JXN6|1ac8a7e4b801c16c5349db035fbbca843c17ac0b,DUB,JFK,2018-02-12T00:53:23.310Z,2
22JXN6|1ac8a7e4b801c16c5349db035fbbca843c17ac0b,JFK,DUB,2018-02-12T00:53:23.310Z,2
22JYZW|693944f249f5edce50b6d002132fd8d6fcdce94a,DUB,LIS,2018-02-12T02:05:31.114Z,2
22JZ7S|685e3738219c66e03d9f4fea04a99aebc9285d33,DUB,LIS,2018-02-12T02:18:24.710Z,2
22JZYS|c5f8bfbef58448e4559b99469944cb4e3958b5fa,DUB,ORD,2018-02-12T03:01:18.902Z,2
22JZYS|c5f8bfbef58448e4559b99469944cb4e3958b5fa,ORD,DUB,2018-02-12T03:01:18.902Z,2
22K5GS|a6497ba308ed167ec4a5487ce9db03dac655eb1b,DUB,SFO,2018-02-12T06:24:22.330Z,2
